texture,stratextsflag,rvindicator,texdesc,chkey,chtgkey
SIL,No ,Yes,Silt loam,52474321,105018508
SICL,No ,Yes,Silty clay loam,52474322,105018509
SIC,No ,No ,Silty clay,52474322,105018510
CL,No ,No ,Clay loam,52474322,105018511
CL,No ,No ,Clay loam,52474323,105018512
L,No ,No ,Loam,52474323,105018513
SICL,No ,Yes,Silty clay loam,52474323,105018514
SIL,No ,Yes,Silt loam,52474324,105018515
SICL,No ,Yes,Silty clay loam,52474325,105018516
SIC,No ,No ,Silty clay,52474325,105018517
CL,No ,No ,Clay loam,52474325,105018518
CL,No ,Yes,Clay loam,52474326,105018519
L,No ,No ,Loam,52474326,105018520
SICL,No ,No ,Silty clay loam,52474326,105018521
SIL,No ,Yes,Silt loam,52474402,105018681
L,No ,No ,Loam,52474403,105018682
CL,No ,Yes,Clay loam,52474403,105018683
SIL,No ,No ,Silt loam,52474403,105018684
L,No ,No ,Loam,52474404,105018685
CL,No ,Yes,Clay loam,52474404,105018686
SIL,No ,No ,Silt loam,52474404,105018687
SIL,No ,Yes,Silt loam,52474405,105018688
SICL,No ,No ,Silty clay loam,52474406,105018689
CL,No ,Yes,Clay loam,52474406,105018690
L,No ,No ,Loam,52474406,105018691
CL,No ,No ,Clay loam,52474407,105018692
L,No ,Yes,Loam,52474407,105018693
SICL,No ,No ,Silty clay loam,52474407,105018694
SIL,No ,Yes,Silt loam,52474436,105018743
L,No ,No ,Loam,52474437,105018744
SIL,No ,Yes,Silt loam,52474437,105018745
SR- SL SIL,Yes,Yes,Stratified sandy loam to silt loam,52474438,105018746
SIL,No ,Yes,Silt loam,52474460,105018785
SICL,No ,No ,Silty clay loam,52474460,105018786
SICL,No ,Yes,Silty clay loam,52474461,105018787
CL,No ,No ,Clay loam,52474461,105018788
SIC,No ,No ,Silty clay,52474461,105018789
C,No ,No ,Clay,52474461,105018790
SICL,No ,Yes,Silty clay loam,52474462,105018791
CL,No ,No ,Clay loam,52474462,105018792
L,No ,No ,Loam,52474462,105018793
SIL,No ,No ,Silt loam,52474462,105018794
SIL,No ,Yes,Silt loam,52474463,105018795
SIC,No ,No ,Silty clay,52474464,105018796
SICL,No ,Yes,Silty clay loam,52474464,105018797
CL,No ,No ,Clay loam,52474464,105018798
CL,No ,Yes,Clay loam,52474465,105018799
SICL,No ,No ,Silty clay loam,52474465,105018800
SIL,No ,No ,Silt loam,52474465,105018801
CL,No ,No ,Clay loam,52474466,105018802
SICL,No ,Yes,Silty clay loam,52474466,105018803
SICL,No ,Yes,Silty clay loam,52474467,105018804
SICL,No ,Yes,Silty clay loam,52474468,105018805
C,No ,No ,Clay,52474468,105018806
SIC,No ,No ,Silty clay,52474468,105018807
SICL,No ,Yes,Silty clay loam,52474469,105018808
CL,No ,No ,Clay loam,52474469,105018809
C,No ,No ,Clay,52474469,105018810
SICL,No ,No ,Silty clay loam,52474470,105018811
CL,No ,Yes,Clay loam,52474470,105018812
SIL,No ,Yes,Silt loam,52474558,105019045
SIL,No ,No ,Silt loam,52474559,105019046
SICL,No ,No ,Silty clay loam,52474559,105019047
L,No ,Yes,Loam,52474559,105019048
SR- SL SIL,Yes,Yes,Stratified sandy loam to silt loam,52474560,105019049
SICL,No ,Yes,Silty clay loam,52474561,105019050
CL,No ,No ,Clay loam,52474562,105019051
SICL,No ,Yes,Silty clay loam,52474562,105019052
SIL,No ,No ,Silt loam,52474562,105019053
GR-L,No ,No ,Gravelly loam,52474563,105019054
SR- SL SICL,Yes,Yes,Stratified sandy loam to silty clay loam,52474563,105019055
SIL,No ,Yes,Silt loam,52474564,105019056
SIL,No ,No ,Silt loam,52474565,105019057
