unifiedcl,rvindicator,chkey,chunifiedkey
CL,Yes,52474326,98472182
CL-ML,No ,52474326,98472183
CL,No ,52474460,98472496
ML,Yes,52474460,98472497
CH,No ,52474461,98472498
CL,Yes,52474461,98472499
CL,Yes,52474462,98472500
CL-ML,No ,52474462,98472501
CL,Yes,52474463,98472502
ML,No ,52474463,98472503
CL,Yes,52474560,98472683
CL,Yes,52474561,98472684
ML,No ,52474561,98472685
CL,No ,52474562,98472686
ML,Yes,52474562,98472687
ML,No ,52474563,98472688
CL,Yes,52474563,98472689
CL-ML,No ,52474563,98472690
CL,No ,52474321,98472171
CL-ML,No ,52474321,98472172
ML,Yes,52474321,98472173
CL,No ,52474402,98472371
CL-ML,Yes,52474402,98472372
CL,Yes,52474403,98472373
CL-ML,No ,52474403,98472374
CL,Yes,52474404,98472375
CL-ML,No ,52474404,98472376
CL-ML,No ,52474405,98472377
ML,Yes,52474405,98472378
CL,No ,52474436,98472443
CL-ML,No ,52474436,98472444
ML,Yes,52474436,98472445
ML,Yes,52474437,98472446
CL,No ,52474438,98472447
CL-ML,No ,52474438,98472448
ML,Yes,52474438,98472449
SM,No ,52474438,98472450
CL,Yes,52474468,98472510
CH,No ,52474468,98472511
CL,Yes,52474469,98472512
CH,No ,52474469,98472513
CL,Yes,52474470,98472514
CH,No ,52474322,98472174
CL,Yes,52474322,98472175
CL,No ,52474324,98472178
ML,Yes,52474324,98472179
CL,Yes,52474406,98472379
ML,No ,52474406,98472380
CL,Yes,52474465,98472506
CL-ML,No ,52474465,98472507
CL,Yes,52474467,98472509
CL,Yes,52474558,98472680
CL,Yes,52474565,98472692
CL-ML,No ,52474565,98472693
CL,Yes,52474323,98472176
CL-ML,No ,52474323,98472177
CH,No ,52474325,98472180
CL,Yes,52474325,98472181
CL,Yes,52474407,98472381
CL-ML,No ,52474407,98472382
CL,Yes,52474464,98472504
CH,No ,52474464,98472505
CL,Yes,52474466,98472508
CL-ML,No ,52474559,98472681
CL,Yes,52474559,98472682
CL,Yes,52474564,98472691
CL-ML,No ,52474566,98472694
ML,No ,52474566,98472695
CL,Yes,52474566,98472696
SM,No ,52474566,98472697
CL,No ,52474840,98473208
ML,Yes,52474840,98473209
CL,Yes,52474842,98473212
CL-ML,No ,52474842,98473213
CL,Yes,52474849,98473226
CL-ML,No ,52474849,98473227
CL-ML,No ,52474858,98473244
ML,No ,52474858,98473245
CL,Yes,52474858,98473246
CL,Yes,52474860,98473249
CL,Yes,52474865,98473259
CL,Yes,52474867,98473262
CH,No ,52474867,98473263
CL,Yes,52474874,98473271
CH,No ,52474874,98473272
CL,Yes,52474876,98473275
CH,No ,52474876,98473276
CL,Yes,52474892,98473307
CL-ML,No ,52474892,98473308
CH,No ,52474894,98473311
CL,Yes,52474894,98473312
CL,Yes,52474908,98473337
CL-ML,No ,52474908,98473338
CL,Yes,52474910,98473341
CL,Yes,52474915,98473348
CH,No ,52474917,98473352
CL,Yes,52474917,98473353
CL,Yes,52474919,98473357
CH,No ,52474919,98473358
CL,Yes,52474844,98473217
CL-ML,No ,52474844,98473218
ML,No ,52474844,98473219
CL,Yes,52474845,98473220
