cropname,yldunits,nonirryield.l,nonirryield.r,nonirryield.h,irryield.l,irryield.r,irryield.h,cropprodindex,vasoiprdgrp,cokey,cocropyldkey
Corn,Bu,NA,100,NA,NA,NA,NA,NA,NA,17960876,37004515
Grass-legume hay,Tons,NA,4,NA,NA,NA,NA,NA,NA,17960876,37004516
Oats,Bu,NA,68,NA,NA,NA,NA,NA,NA,17960876,37004517
Orchardgrass,AUM,NA,6.7,NA,NA,NA,NA,NA,NA,17960876,37004518
Orchardgrass-trefoil,AUM,NA,5.3,NA,NA,NA,NA,NA,NA,17960876,37004519
Orchardgrass-trefoil hay,Tons,NA,3.2,NA,NA,NA,NA,NA,NA,17960876,37004520
Soybeans,Bu,NA,31,NA,NA,NA,NA,NA,NA,17960876,37004521
Winter wheat,Bu,NA,34,NA,NA,NA,NA,NA,NA,17960876,37004522
Corn,Bu,NA,88,NA,NA,NA,NA,NA,NA,17960877,37004523
Grass-legume hay,Tons,NA,3.6,NA,NA,NA,NA,NA,NA,17960877,37004524
Oats,Bu,NA,68,NA,NA,NA,NA,NA,NA,17960877,37004525
Orchardgrass,AUM,NA,6.6,NA,NA,NA,NA,NA,NA,17960877,37004526
Orchardgrass-alfalfa hay,Tons,NA,4,NA,NA,NA,NA,NA,NA,17960877,37004527
Soybeans,Bu,NA,30,NA,NA,NA,NA,NA,NA,17960877,37004528
Winter wheat,Bu,NA,34,NA,NA,NA,NA,NA,NA,17960877,37004529
Bromegrass-alfalfa,AUM,NA,2.1,NA,NA,NA,NA,NA,NA,17960976,37004682
Grass-legume hay,Tons,NA,3,NA,NA,NA,NA,NA,NA,17960976,37004683
Grass-legume hay,Tons,NA,3,NA,NA,NA,NA,NA,NA,17960977,37004684
Corn,Bu,NA,120,NA,NA,NA,NA,NA,NA,17961019,37004735
Grass-legume hay,Tons,NA,4.5,NA,NA,NA,NA,NA,NA,17961019,37004736
Kentucky bluegrass,AUM,NA,5.5,NA,NA,NA,NA,NA,NA,17961019,37004737
Oats,Bu,NA,80,NA,NA,NA,NA,NA,NA,17961019,37004738
Orchardgrass-red clover hay,Tons,NA,4.5,NA,NA,NA,NA,NA,NA,17961019,37004739
Soybeans,Bu,NA,40,NA,NA,NA,NA,NA,NA,17961019,37004740
Winter wheat,Bu,NA,42,NA,NA,NA,NA,NA,NA,17961019,37004741
Grass-legume hay,Tons,3.2,3.4,3.6,NA,NA,NA,NA,NA,17961049,37004784
Soybeans,Bu,32,35,38,NA,NA,NA,NA,NA,17961049,37004785
Winter wheat,Bu,37,40,43,NA,NA,NA,NA,NA,17961049,37004786
Grass-legume pasture,AUM,4.6,4.8,5,NA,NA,NA,NA,NA,17961049,37004787
Corn,Bu,95,100,105,NA,NA,NA,NA,NA,17961049,37004788
Grass-legume pasture,AUM,5.1,5.3,5.5,NA,NA,NA,NA,NA,17961050,37004789
Corn,Bu,115,120,125,NA,NA,NA,NA,NA,17961050,37004790
Grass-legume hay,Tons,4.1,4.3,4.5,NA,NA,NA,NA,NA,17961050,37004791
Soybeans,Bu,37,40,43,NA,NA,NA,NA,NA,17961050,37004792
Winter wheat,Bu,42,45,48,NA,NA,NA,NA,NA,17961050,37004793
Grass-legume hay,Tons,5.1,5.3,5.5,NA,NA,NA,NA,NA,17961051,37004794
Corn,Bu,155,160,165,NA,NA,NA,NA,NA,17961051,37004795
Soybeans,Bu,45,47,49,NA,NA,NA,NA,NA,17961051,37004796
Winter wheat,Bu,61,64,67,NA,NA,NA,NA,NA,17961051,37004797
Grass-legume pasture,AUM,10.4,10.6,10.8,NA,NA,NA,NA,NA,17961051,37004798
Corn,Bu,115,120,125,NA,NA,NA,NA,NA,17961097,37004903
Grass-legume hay,Tons,3.9,4.1,4.3,NA,NA,NA,NA,NA,17961097,37004904
Grass-legume pasture,AUM,7.7,8,8.3,NA,NA,NA,NA,NA,17961097,37004905
Soybeans,Bu,30,34,38,NA,NA,NA,NA,NA,17961097,37004906
Grass-legume hay,Tons,4,4.2,4.4,NA,NA,NA,NA,NA,17961098,37004907
Grass-legume pasture,AUM,5.9,6.2,6.5,NA,NA,NA,NA,NA,17961098,37004908
Soybeans,Bu,36,40,44,NA,NA,NA,NA,NA,17961098,37004909
Corn,Bu,135,140,145,NA,NA,NA,NA,NA,17961098,37004910
Corn,Bu,110,115,120,NA,NA,NA,NA,NA,17961099,37004911
Grass-legume hay,Tons,4.1,4.3,4.5,NA,NA,NA,NA,NA,17961099,37004912
Grass-legume pasture,AUM,7.6,7.9,8.2,NA,NA,NA,NA,NA,17961099,37004913
Soybeans,Bu,36,40,44,NA,NA,NA,NA,NA,17961099,37004914
Grass-legume hay,Tons,3.9,4.1,4.3,NA,NA,NA,NA,NA,17961209,37005266
Soybeans,Bu,38,41,44,NA,NA,NA,NA,NA,17961209,37005267
Winter wheat,Bu,44,48,52,NA,NA,NA,NA,NA,17961209,37005268
Grass-legume pasture,AUM,4.8,5.1,5.4,NA,NA,NA,NA,NA,17961209,37005269
Corn,Bu,136,141,146,NA,NA,NA,NA,NA,17961209,37005270
Soybeans,Bu,36,39,42,NA,NA,NA,NA,NA,17961210,37005271
Winter wheat,Bu,41,45,49,NA,NA,NA,NA,NA,17961210,37005272
Grass-legume pasture,AUM,4.6,4.8,5,NA,NA,NA,NA,NA,17961210,37005273
Corn,Bu,129,134,139,NA,NA,NA,NA,NA,17961210,37005274
Grass-legume hay,Tons,3.2,3.4,3.6,NA,NA,NA,NA,NA,17961210,37005275
Corn,Bu,136,141,146,NA,NA,NA,NA,NA,17961211,37005276
Grass-legume hay,Tons,3,3.3,3.6,NA,NA,NA,NA,NA,17961211,37005277
Grass-legume pasture,AUM,3.8,4.1,4.4,NA,NA,NA,NA,NA,17961211,37005278
Soybeans,Bu,37,40,43,NA,NA,NA,NA,NA,17961211,37005279
Winter wheat,Bu,43,47,51,NA,NA,NA,NA,NA,17961211,37005280
Corn,Bu,125,130,135,NA,NA,NA,NA,NA,17961212,37005281
