plantsym,plantsciname,plantcomname,siteindexbase,siteindex.l,siteindex.r,siteindex.h,fprod.l,fprod.r,fprod.h,cokey,cofprodkey
QURU,Quercus rubra,northern red oak,Schnur 1937 (820),NA,80,NA,NA,57,NA,17960866,25335286
LITU,Liriodendron tulipifera,tuliptree,,NA,NA,NA,NA,NA,NA,17960866,25335287
QUAL,Quercus alba,white oak,"Carmean 1971, 1972 (804)",NA,75,NA,NA,57,NA,17960866,25335288
QUPA2,Quercus palustris,pin oak,Broadfoot 1963 (860),NA,80,NA,NA,57,NA,17960897,25335313
QUBI,Quercus bicolor,swamp white oak,Broadfoot 1963 (860),NA,80,NA,NA,NA,NA,17960897,25335314
FRAM2,Fraxinus americana,white ash,,NA,NA,NA,NA,NA,NA,17960897,25335315
ACRU,Acer rubrum,red maple,,NA,NA,NA,NA,NA,NA,17960897,25335316
FRAM2,Fraxinus americana,white ash,,NA,NA,NA,NA,NA,NA,17960899,25335317
QUPA2,Quercus palustris,pin oak,Broadfoot 1963 (860),NA,90,NA,NA,NA,NA,17960899,25335318
QURU,Quercus rubra,northern red oak,,NA,NA,NA,NA,NA,NA,17960899,25335319
QUPA2,Quercus palustris,pin oak,Broadfoot 1963 (860),NA,86,NA,NA,72,NA,17961023,25335434
QUBI,Quercus bicolor,swamp white oak,,NA,NA,NA,NA,NA,NA,17961023,25335435
ACRU,Acer rubrum,red maple,,NA,NA,NA,NA,NA,NA,17961023,25335436
FRAM2,Fraxinus americana,white ash,,NA,NA,NA,NA,NA,NA,17961023,25335437
QUBI,Quercus bicolor,swamp white oak,Broadfoot 1963 (860),76,76,76,68,68,68,17961123,25335597
QUPA2,Quercus palustris,pin oak,Broadfoot 1963 (860),78,78,78,60,60,60,17961123,25335598
QUPA2,Quercus palustris,pin oak,Broadfoot 1963 (860),86,86,86,NA,NA,NA,17961124,25335599
LITU,Liriodendron tulipifera,tuliptree,Beck 1962 (360),90,90,90,86,86,86,17961124,25335600
QUAL,Quercus alba,white oak,,NA,NA,NA,NA,NA,NA,17961124,25335601
QURU,Quercus rubra,northern red oak,Schnur 1937 (820),80,80,80,57,57,57,17961124,25335602
ACSA3,Acer saccharum,sugar maple,,NA,NA,NA,NA,NA,NA,17961124,25335603
PRSE2,Prunus serotina,black cherry,,NA,NA,NA,NA,NA,NA,17961124,25335604
FRAM2,Fraxinus americana,white ash,,NA,NA,NA,NA,NA,NA,17961124,25335605
FRAM2,Fraxinus americana,white ash,,NA,NA,NA,NA,NA,NA,17961125,25335606
PRSE2,Prunus serotina,black cherry,,NA,NA,NA,NA,NA,NA,17961125,25335607
ACSA3,Acer saccharum,sugar maple,,NA,NA,NA,NA,NA,NA,17961125,25335608
LITU,Liriodendron tulipifera,tuliptree,,NA,NA,NA,NA,NA,NA,17961125,25335609
QUAL,Quercus alba,white oak,,NA,NA,NA,NA,NA,NA,17961125,25335610
QURU,Quercus rubra,northern red oak,Schnur 1937 (820),NA,85,NA,NA,72,NA,17961125,25335611
QUPA2,Quercus palustris,pin oak,Broadfoot 1963 (860),NA,80,NA,NA,57,NA,17961125,25335612
QUBI,Quercus bicolor,swamp white oak,,NA,NA,NA,NA,NA,NA,17961126,25335613
QUPA2,Quercus palustris,pin oak,Broadfoot 1963 (860),90,90,90,72,72,72,17961126,25335614
PODE3,Populus deltoides,eastern cottonwood,,NA,NA,NA,NA,NA,NA,17961126,25335615
FRPE,Fraxinus pennsylvanica,green ash,,NA,NA,NA,NA,NA,NA,17961126,25335616
PRSE2,Prunus serotina,black cherry,,NA,NA,NA,NA,NA,NA,17961126,25335617
ACRU,Acer rubrum,red maple,,NA,NA,NA,NA,NA,NA,17961126,25335618
ACSA3,Acer saccharum,sugar maple,,NA,NA,NA,NA,NA,NA,17961214,25335851
PRSE2,Prunus serotina,black cherry,,NA,NA,NA,NA,NA,NA,17961214,25335852
FRAM2,Fraxinus americana,white ash,,NA,NA,NA,NA,NA,NA,17961214,25335853
LITU,Liriodendron tulipifera,tuliptree,Beck 1962 (360),NA,90,NA,NA,86,NA,17961214,25335854
QURU,Quercus rubra,northern red oak,Schnur 1937 (820),NA,80,NA,NA,57,NA,17961214,25335855
QUAL,Quercus alba,white oak,,NA,NA,NA,NA,NA,NA,17961214,25335856
QURU,Quercus rubra,northern red oak,Schnur 1937 (820),NA,80,NA,NA,57,NA,17961215,25335857
QUAL,Quercus alba,white oak,"Carmean 1971, 1972 (804)",NA,75,NA,NA,57,NA,17961215,25335858
LITU,Liriodendron tulipifera,tuliptree,,NA,NA,NA,NA,NA,NA,17961215,25335859
FRAM2,Fraxinus americana,white ash,,NA,NA,NA,NA,NA,NA,17961215,25335860
PRSE2,Prunus serotina,black cherry,,NA,NA,NA,NA,NA,NA,17961215,25335861
ACSA3,Acer saccharum,sugar maple,,NA,NA,NA,NA,NA,NA,17961215,25335862
FRPE,Fraxinus pennsylvanica,green ash,,NA,NA,NA,NA,NA,NA,17961216,25335863
ACRU,Acer rubrum,red maple,,NA,NA,NA,NA,NA,NA,17961216,25335864
PODE3,Populus deltoides,eastern cottonwood,,NA,NA,NA,NA,NA,NA,17961216,25335865
QUBI,Quercus bicolor,swamp white oak,,NA,NA,NA,NA,NA,NA,17961216,25335866
QUPA2,Quercus palustris,pin oak,Broadfoot 1963 (860),NA,90,NA,NA,72,NA,17961216,25335867
QUPA2,Quercus palustris,pin oak,Broadfoot 1963 (860),NA,90,NA,NA,72,NA,17961217,25335868
QUBI,Quercus bicolor,swamp white oak,,NA,NA,NA,NA,NA,NA,17961217,25335869
PODE3,Populus deltoides,eastern cottonwood,Broadfoot 1960 (710),NA,98,NA,NA,123,NA,17961217,25335870
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,71,NA,NA,44,NA,17961217,25335871
FRPE,Fraxinus pennsylvanica,green ash,,NA,NA,NA,NA,NA,NA,17961217,25335872
FRPE,Fraxinus pennsylvanica,green ash,,NA,NA,NA,NA,NA,NA,17961218,25335873
ACRU,Acer rubrum,red maple,Lloyd 1971b (094),NA,71,NA,NA,44,NA,17961218,25335874
PODE3,Populus deltoides,eastern cottonwood,Broadfoot 1960 (710),NA,98,NA,NA,123,NA,17961218,25335875
QUPA2,Quercus palustris,pin oak,Broadfoot 1963 (860),NA,90,NA,NA,72,NA,17961218,25335876
QUBI,Quercus bicolor,swamp white oak,,NA,NA,NA,NA,NA,NA,17961218,25335877
QUPA2,Quercus palustris,pin oak,Broadfoot 1963 (860),NA,86,NA,NA,NA,NA,17961219,25335878
LITU,Liriodendron tulipifera,tuliptree,Beck 1962 (360),NA,90,NA,NA,86,NA,17961219,25335879
QURU,Quercus rubra,northern red oak,Schnur 1937 (820),NA,80,NA,NA,57,NA,17961219,25335880
QUAL,Quercus alba,white oak,,NA,NA,NA,NA,NA,NA,17961219,25335881
ACSA3,Acer saccharum,sugar maple,,NA,NA,NA,NA,NA,NA,17961219,25335882
PRSE2,Prunus serotina,black cherry,,NA,NA,NA,NA,NA,NA,17961219,25335883
FRAM2,Fraxinus americana,white ash,,NA,NA,NA,NA,NA,NA,17961219,25335884
FRAM2,Fraxinus americana,white ash,,NA,NA,NA,NA,NA,NA,17961220,25335885
ACSA3,Acer saccharum,sugar maple,,NA,NA,NA,NA,NA,NA,17961220,25335886
PRSE2,Prunus serotina,black cherry,,NA,NA,NA,NA,NA,NA,17961220,25335887
LITU,Liriodendron tulipifera,tuliptree,,NA,NA,NA,NA,NA,NA,17961220,25335888
