hydriccriterion,cokey,cohydcritkey
2,17960897,4009649
3,17960897,4009650
3,17960901,4009725
2,17960901,4009726
3,17960929,4009743
2,17960929,4009744
3,17960930,4009745
2,17960930,4009746
2,17961023,4009661
3,17961023,4009662
2,17961024,4009783
3,17961024,4009784
2,17961025,4009785
3,17961025,4009786
2,17961026,4009787
3,17961026,4009788
1,17961027,4009789
3,17961027,4009790
2,17961049,4009872
2,17961051,4009870
3,17961051,4009871
2,17961057,4009793
3,17961057,4009794
2,17961058,4009791
3,17961058,4009792
2,17961123,4009894
3,17961123,4009895
2,17961126,4009893
2,17961216,4009873
2,17961217,4009874
3,17961217,4009875
2,17961218,4009877
3,17961218,4009878
2,17961224,4009876
2,17961227,4009886
2,17961228,4009887
3,17961228,4009888
