comppct.l,comppct.r,comppct.h,compname,compkind,majcompflag,otherph,localphase,slope.l,slope.r,slope.h,slopelenusle.l,slopelenusle.r,slopelenusle.h,runoff,tfact,wei,weg,erocl,earthcovkind1,earthcovkind2,hydricon,hydricrating,drainagecl,elev.l,elev.r,elev.h,aspectccwise,aspectrep,aspectcwise,geomdesc,albedodry.l,albedodry.r,albedodry.h,airtempa.l,airtempa.r,airtempa.h,map.l,map.r,map.h,reannualprecip.l,reannualprecip.r,reannualprecip.h,ffd.l,ffd.r,ffd.h,nirrcapcl,nirrcapscl,nirrcapunit,irrcapcl,irrcapscl,irrcapunit,cropprodindex,constreeshrubgrp,wndbrksuitgrp,rsprod.l,rsprod.r,rsprod.h,foragesuitgrpid,wlgrain,wlgrass,wlherbaceous,wlshrub,wlconiferous,wlhardwood,wlwetplant,wlshallowwat,wlrangeland,wlopenland,wlwoodland,wlwetland,soilslippot,frostact,initsub.l,initsub.r,initsub.h,totalsub.l,totalsub.r,totalsub.h,hydgrp,corcon,corsteel,taxclname,taxorder,taxsuborder,taxgrtgroup,taxsubgrp,taxpartsize,taxpartsizemod,taxceactcl,taxreaction,taxtempcl,taxmoistscl,taxtempregime,soiltaxedition,castorieindex,flecolcomnum,flhe,flphe,flsoilleachpot,flsoirunoffpot,fltemik2use,fltriumph2use,indraingrp,innitrateleachi,misoimgmtgrp,vasoimgtgrp,mukey,cokey
0,3,8,Pewamo,Series,No ,,low carbonate till,0,1,2,15,46,61,Negligible,5,48,6,None - deposition,Crop cover,Row crop,,Yes,Very poorly drained,244,275,340,360,135,0,"depressions on till plains, drainageways on till plains",0.16,0.17,0.23,9,10,12,864,990,1067,NA,NA,NA,145,165,175,2,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Low,High,"Fine, mixed, active, mesic Typic Argiaquolls",Mollisols,Aquolls,Argiaquolls,Typic Argiaquolls,fine,not used,active,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168539,17961218
80,85,90,Bennington,Series,Yes,,,2,4,6,15,46,61,High,5,48,6,Class 1,Crop cover,Row crop,,No,Somewhat poorly drained,244,275,340,360,135,0,"end moraines on till plains, ground moraines on till plains",0.29,0.29,0.37,9,10,12,864,990,1067,NA,NA,NA,145,165,175,2,e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Moderate,High,"Fine, illitic, mesic Aeric Epiaqualfs",Alfisols,Aqualfs,Epiaqualfs,Aeric Epiaqualfs,fine,not used,not used,not used,mesic,Aeric,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168539,17961219
0,9,12,Cardington,Series,No ,,,2,5,6,15,46,61,High,5,48,6,Class 1,Crop cover,Row crop,,No,Moderately well drained,244,275,340,360,135,0,"end moraines on till plains, ground moraines on till plains",0.27,0.29,0.37,9,10,12,864,990,1067,NA,NA,NA,145,165,175,2,e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,0,0,0,0,0,0,C/D,Moderate,High,"Fine, illitic, mesic Aquic Hapludalfs",Alfisols,Udalfs,Hapludalfs,Aquic Hapludalfs,fine,not used,not used,not used,mesic,Aquic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168539,17961220
0,3,8,Condit,Series,No ,,,0,1,2,15,31,46,Negligible,5,48,6,None - deposition,Crop cover,Row crop,,Yes,Poorly drained,244,275,340,360,135,0,"depressions on till plains, drainageways on till plains",0.23,0.3,0.3,9,10,12,864,990,1067,NA,NA,NA,145,165,175,3,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0,0,0,0,0,0,C/D,Moderate,High,"Fine, illitic, mesic Typic Epiaqualfs",Alfisols,Aqualfs,Epiaqualfs,Typic Epiaqualfs,fine,not used,not used,not used,mesic,Typic,mesic,twelfth edition,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168539,17961224
NA,5,NA,darker colored surface layer,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,NA,NA,NA,360,135,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168557,17960875
NA,50,NA,Condit,Series,Yes,,,0,1,2,NA,31,NA,High,5,48,6,Class 1,,,,Yes,Poorly drained,244,275,305,360,135,0,"flats on till plains, depressions on till plains",NA,0.37,NA,8,10,12,787,927,1067,NA,NA,NA,145,163,180,3,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,NA,NA,NA,NA,NA,NA,C/D,Moderate,High,"Fine, illitic, mesic Typic Ochraqualfs",Alfisols,Aqualfs,Ochraqualfs,Typic Ochraqualfs,fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168557,17960876
NA,30,NA,Bennington,Series,Yes,,,0,1,2,NA,31,NA,Medium,5,48,6,None - deposition,,,,No,Somewhat poorly drained,244,305,366,360,135,0,knolls on till plains,NA,0.3,NA,9,11,12,787,914,1041,NA,NA,NA,145,163,180,2,w,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,NA,NA,NA,NA,NA,NA,C/D,Moderate,High,"Fine, illitic, mesic Aeric Ochraqualfs",Alfisols,Aqualfs,Ochraqualfs,Aeric Ochraqualfs,fine,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168557,17960877
NA,10,NA,Pewamo,Series,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,Yes,,NA,NA,NA,360,135,0,depressions on till plains,NA,0.23,NA,9,10,13,864,914,1067,NA,NA,NA,140,160,180,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168557,17960878
NA,5,NA,Silt or gravel at 3 feet,,No ,,,NA,NA,NA,NA,NA,NA,,NA,NA,,,,,,,,NA,NA,NA,360,135,0,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168557,17960879
NA,50,NA,Hennepin,Series,Yes,MAAT>50,,18,30,50,NA,23,NA,,5,86,4L,Class 1,,,,No,Well drained,122,217,311,360,135,0,till plains,NA,0.37,NA,11,13,14,762,889,1016,NA,NA,NA,160,173,185,7,e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Moderate,NA,NA,NA,NA,NA,NA,B,Low,Low,"Fine-loamy, mixed, mesic Typic Eutrochrepts",Inceptisols,Ochrepts,Eutrochrepts,Typic Eutrochrepts,fine-loamy,,,not used,mesic,,mesic,,NA,NA,NA,NA,NA,NA,N/A,N/A,NA,NA,,NA,168570,17960976
