pmgroupname,rvindicator,cokey,copmgrpkey
loamy till,Yes,17960866,13006831
outwash,Yes,17960867,13006786
glaciolacustrine deposits,Yes,17960868,13006646
till,Yes,17960869,13006787
clayey glaciolacustrine deposits,Yes,17960897,13006705
till,Yes,17960898,13006563
till,Yes,17960899,13006707
till,Yes,17960900,13006647
till,Yes,17960901,13006548
till,Yes,17960929,13006654
lacustrine deposits,Yes,17960930,13006795
till,Yes,17960931,13006562
lacustrine deposits,Yes,17961023,13006622
glaciolacustrine deposits,Yes,17961024,13006804
clayey glaciolacustrine deposits,Yes,17961025,13006665
glaciolacustrine deposits,Yes,17961026,13006738
herbaceous organic material over coprogenic material,Yes,17961027,13006739
"Wisconsin loamy till derived from limestone, sandstone, and shale",Yes,17961049,13006821
"Wisconsin loamy till derived from limestone, sandstone, and shale",Yes,17961050,13006678
"till derived from limestone, sandstone, and shale",Yes,17961051,13006820
till,Yes,17961056,13006740
till,Yes,17961057,13006805
till,Yes,17961058,13006741
glaciolacustrine deposits,Yes,17961123,13006864
"Wisconsin loamy till derived from limestone, sandstone, and shale",Yes,17961124,13006768
glaciolacustrine deposits over Wisconsin till,Yes,17961125,13006770
"Wisconsin loamy till derived from limestone, sandstone, and shale",Yes,17961126,13006769
Wisconsin loamy till derived from sandstone and shale,Yes,17961214,13006679
Wisconsin loamy till derived from sandstone and shale,Yes,17961215,13006680
Wisconsin loamy till derived from sandstone and shale,Yes,17961216,13006822
till derived from sandstone and shale,Yes,17961217,13006823
till derived from sandstone and shale,Yes,17961218,13006757
Wisconsin loamy till derived from sandstone and shale,Yes,17961219,13006754
Wisconsin loamy till derived from sandstone and shale,Yes,17961220,13006756
Wisconsin loamy till derived from sandstone and shale,Yes,17961224,13006755
"Wisconsin loamy till derived from limestone, sandstone, and shale",Yes,17961227,13006860
"Wisconsin loamy till derived from limestone, sandstone, and shale",Yes,17961228,13006861
"Wisconsin loamy till derived from limestone, sandstone, and shale",Yes,17961229,13006692
"Wisconsin loamy till derived from limestone, sandstone, and shale",Yes,17961230,13006765
