wndbrkht.l,wndbrkht.r,wndbrkht.h,plantsym,plantsciname,plantcomname,cokey,copwindbreakkey
NA,5,NA,PIPU,Picea pungens,blue spruce,17960876,96313930
NA,3,NA,VIOPA2,Viburnum opulus var. americanum,American cranberrybush,17960876,96313931
NA,5,NA,CRPH,Crataegus phaenopyrum,Washington hawthorn,17960876,96313932
NA,8,NA,PIAB,Picea abies,Norway spruce,17960876,96313933
NA,7,NA,PINI,Pinus nigra,Austrian pine,17960876,96313934
NA,9,NA,PIST,Pinus strobus,eastern white pine,17960876,96313935
NA,5,NA,ABCO,Abies concolor,white fir,17960876,96313936
NA,11,NA,QUPA2,Quercus palustris,pin oak,17960876,96313937
NA,6,NA,THOC2,Thuja occidentalis,arborvitae,17960876,96313938
NA,2,NA,COAM2,Cornus amomum,silky dogwood,17960876,96313939
NA,3,NA,VIDE,Viburnum dentatum,southern arrowwood,17960877,96313940
NA,9,NA,QUPA2,Quercus palustris,pin oak,17960877,96313941
NA,5,NA,FRPE,Fraxinus pennsylvanica,green ash,17960877,96313942
NA,6,NA,PINI,Pinus nigra,Austrian pine,17960877,96313943
NA,9,NA,PIST,Pinus strobus,eastern white pine,17960877,96313944
NA,5,NA,CRPH,Crataegus phaenopyrum,Washington hawthorn,17960877,96313945
NA,5,NA,JUVI,Juniperus virginiana,eastern redcedar,17960877,96313946
NA,5,NA,MAPO,Maclura pomifera,osageorange,17960877,96313947
NA,2,NA,VIOPA2,Viburnum opulus var. americanum,American cranberrybush,17960877,96313948
NA,4,NA,JUVI,Juniperus virginiana,eastern redcedar,17960976,96314172
NA,4,NA,MAPO,Maclura pomifera,osageorange,17960976,96314173
NA,3,NA,VIOPA2,Viburnum opulus var. americanum,American cranberrybush,17960976,96314174
NA,3,NA,CRPH,Crataegus phaenopyrum,Washington hawthorn,17960976,96314175
NA,2,NA,CORA6,Cornus racemosa,gray dogwood,17960976,96314176
NA,4,NA,PIBA2,Pinus banksiana,jack pine,17960976,96314177
NA,5,NA,CASP8,Catalpa speciosa,northern catalpa,17960976,96314178
NA,2,NA,COAM2,Cornus amomum,silky dogwood,17960976,96314179
NA,6,NA,GLTR,Gleditsia triacanthos,honeylocust,17960976,96314180
NA,2,NA,COAM2,Cornus amomum,silky dogwood,17960977,96314181
NA,11,NA,QUPA2,Quercus palustris,pin oak,17960977,96314182
NA,7,NA,THOC2,Thuja occidentalis,arborvitae,17960977,96314183
NA,7,NA,ABCO,Abies concolor,white fir,17960977,96314184
NA,5,NA,CRPH,Crataegus phaenopyrum,Washington hawthorn,17960977,96314185
NA,10,NA,PIAB,Picea abies,Norway spruce,17960977,96314186
NA,9,NA,PINI,Pinus nigra,Austrian pine,17960977,96314187
NA,12,NA,PIST,Pinus strobus,eastern white pine,17960977,96314188
NA,7,NA,PIPU,Picea pungens,blue spruce,17960977,96314189
NA,3,NA,VIOPA2,Viburnum opulus var. americanum,American cranberrybush,17960977,96314190
NA,2,NA,COAM2,Cornus amomum,silky dogwood,17961019,96314295
NA,6,NA,ABCO,Abies concolor,white fir,17961019,96314296
NA,11,NA,QUPA2,Quercus palustris,pin oak,17961019,96314297
NA,6,NA,THOC2,Thuja occidentalis,arborvitae,17961019,96314298
NA,5,NA,CRPH,Crataegus phaenopyrum,Washington hawthorn,17961019,96314299
NA,9,NA,PIAB,Picea abies,Norway spruce,17961019,96314300
NA,8,NA,PINI,Pinus nigra,Austrian pine,17961019,96314301
NA,12,NA,PIST,Pinus strobus,eastern white pine,17961019,96314302
NA,6,NA,PIPU,Picea pungens,blue spruce,17961019,96314303
NA,3,NA,VIOPA2,Viburnum opulus var. americanum,American cranberrybush,17961019,96314304
2,2,2,COAM2,Cornus amomum,silky dogwood,17961227,96315417
5,5,5,ABCO,Abies concolor,white fir,17961227,96315418
9,9,9,QUBI,Quercus bicolor,swamp white oak,17961227,96315419
11,11,11,QUPA2,Quercus palustris,pin oak,17961227,96315420
4,4,4,TADI2,Taxodium distichum,baldcypress,17961227,96315421
6,6,6,THOC2,Thuja occidentalis,arborvitae,17961227,96315422
5,5,5,PIPU,Picea pungens,blue spruce,17961227,96315423
3,3,3,VIOPA2,Viburnum opulus var. americanum,American cranberrybush,17961227,96315424
7,7,7,JUVI,Juniperus virginiana,eastern redcedar,17961227,96315425
4,4,4,ALGL2,Alnus glutinosa,European alder,17961227,96315426
5,5,5,CRPH,Crataegus phaenopyrum,Washington hawthorn,17961227,96315427
7,7,7,FRPE,Fraxinus pennsylvanica,green ash,17961227,96315428
8,8,8,PIAB,Picea abies,Norway spruce,17961227,96315429
7,7,7,PINI,Pinus nigra,Austrian pine,17961227,96315430
9,9,9,PIST,Pinus strobus,eastern white pine,17961227,96315431
5,5,5,CRPH,Crataegus phaenopyrum,Washington hawthorn,17961228,96315432
9,9,9,PIST,Pinus strobus,eastern white pine,17961228,96315433
4,4,4,ALGL2,Alnus glutinosa,European alder,17961228,96315434
7,7,7,FRPE,Fraxinus pennsylvanica,green ash,17961228,96315435
