soimoistdept.l,soimoistdept.r,soimoistdept.h,soimoistdepb.l,soimoistdepb.r,soimoistdepb.h,soimoiststat,comonthkey,cosoilmoistkey
137,160,183,183,183,183,,188408222,116910322
0,0,0,122,153,183,,188408222,116910323
122,153,183,137,160,183,Wet,188408222,116910324
137,160,183,183,183,183,,188408224,116910325
0,0,0,122,153,183,,188408224,116910326
122,153,183,137,160,183,Wet,188408224,116910327
137,160,183,183,183,183,,188408225,116910328
0,0,0,122,153,183,,188408225,116910329
122,153,183,137,160,183,Wet,188408225,116910330
137,160,183,183,183,183,,188408226,116910331
0,0,0,122,153,183,,188408226,116910332
122,153,183,137,160,183,Wet,188408226,116910333
137,160,183,183,183,183,,188408229,116910334
0,0,0,122,153,183,,188408229,116910335
122,153,183,137,160,183,Wet,188408229,116910336
0,7,15,76,114,152,Wet,188408306,116910452
0,0,0,0,7,15,,188408306,116910453
76,114,152,183,183,183,,188408306,116910454
0,7,15,76,114,152,Wet,188408308,116910455
0,0,0,0,7,15,,188408308,116910456
76,114,152,183,183,183,,188408308,116910457
0,7,15,76,114,152,Wet,188408309,116910458
0,0,0,0,7,15,,188408309,116910459
76,114,152,183,183,183,,188408309,116910460
0,7,15,76,114,152,Wet,188408310,116910461
0,0,0,0,7,15,,188408310,116910462
76,114,152,183,183,183,,188408310,116910463
0,0,0,0,7,15,,188408313,116910464
76,114,152,183,183,183,,188408313,116910465
0,7,15,76,114,152,Wet,188408313,116910466
0,7,15,76,114,152,Wet,188408314,116910467
0,0,0,0,7,15,,188408314,116910468
76,114,152,183,183,183,,188408314,116910469
0,7,15,76,114,152,Wet,188408315,116910470
0,0,0,0,7,15,,188408315,116910471
76,114,152,183,183,183,,188408315,116910472
0,7,15,76,114,152,Wet,188408316,116910473
0,0,0,0,7,15,,188408316,116910474
76,114,152,183,183,183,,188408316,116910475
0,0,0,15,31,46,,188408318,116910476
15,31,46,61,84,107,Wet,188408318,116910477
61,84,107,183,183,183,,188408318,116910478
0,0,0,15,31,46,,188408320,116910479
15,31,46,61,84,107,Wet,188408320,116910480
61,84,107,183,183,183,,188408320,116910481
0,0,0,15,31,46,,188408321,116910482
15,31,46,61,84,107,Wet,188408321,116910483
61,84,107,183,183,183,,188408321,116910484
0,0,0,15,31,46,,188408322,116910485
15,31,46,61,81,107,Wet,188408322,116910486
61,81,107,183,183,183,,188408322,116910487
0,0,0,15,31,46,,188408325,116910488
15,31,46,61,84,107,Wet,188408325,116910489
61,84,107,183,183,183,,188408325,116910490
0,0,0,15,31,46,,188408326,116910491
15,31,46,61,84,107,Wet,188408326,116910492
61,84,107,183,183,183,,188408326,116910493
0,0,0,15,31,46,,188408327,116910494
15,31,46,61,84,107,Wet,188408327,116910495
61,84,107,183,183,183,,188408327,116910496
0,0,0,0,7,15,,188408690,116910890
0,7,15,76,114,152,Wet,188408690,116910891
76,114,152,183,183,183,,188408690,116910892
0,0,0,0,7,15,,188408692,116910893
0,7,15,76,114,152,Wet,188408692,116910894
76,114,152,183,183,183,,188408692,116910895
0,0,0,0,7,15,,188408693,116910896
0,7,15,76,114,152,Wet,188408693,116910897
76,114,152,183,183,183,,188408693,116910898
