geomposmntn,geomposhill,geompostrce,geomposflats,cogeomdkey,cosurfmorgckey
NA,,,Dip,27312681,10150895
NA,,,Dip,27312682,10151055
NA,,,Rise,27312683,10150896
NA,Base Slope,,,27312685,10150948
NA,Interfluve,,,27312687,10150880
NA,Base Slope,,,27312688,10151031
NA,Interfluve,,,27312691,10150882
NA,Crest,,,27312693,10151036
NA,Base Slope,,,27312695,10151033
NA,Base Slope,,,27312697,10150883
NA,Base Slope,,,27312699,10151038
NA,Interfluve,,,27312701,10151125
NA,Crest,,,27312702,10150952
NA,Base Slope,,,27312704,10151126
NA,Side Slope,,,27312781,10151075
NA,Nose Slope,,,27312781,10151076
NA,Side Slope,,,27312881,10150846
NA,Side Slope,,,27312882,10151073
NA,Nose Slope,,,27312882,10151074
NA,Interfluve,,,27312957,10151032
NA,Interfluve,,,27312958,10150881
NA,Side Slope,,,27312959,10151035
NA,Interfluve,,,27312960,10151124
NA,Side Slope,,,27312961,10150884
NA,Interfluve,,,27312964,10150869
NA,Base Slope,,,27312965,10151006
NA,Crest,,,27312967,10151104
NA,Side Slope,,,27312969,10150867
NA,Base Slope,,,27312995,10150865
NA,Base Slope,,,27312998,10150931
NA,Crest,,,27312999,10151102
NA,Interfluve,,,27313002,10150930
NA,Base Slope,,,27313134,10150949
NA,Base Slope,,,27313135,10151030
NA,Base Slope,,,27313136,10151034
NA,Base Slope,,,27313137,10150950
NA,Base Slope,,,27313138,10151037
NA,Base Slope,,,27313139,10150951
NA,Base Slope,,,27313150,10151007
NA,Base Slope,,,27313155,10151100
NA,Base Slope,,,27313156,10150866
NA,Interfluve,,,27313191,10150868
NA,Side Slope,,,27313192,10151103
NA,Side Slope,,,27313193,10151105
NA,Side Slope,,,27313202,10151101
NA,Interfluve,,,27313203,10151005
