shapeacross,shapedown,cogeomdkey,cosurfmorsskey
Linear,Linear,27312574,15923611
Linear,Linear,27312681,15923603
Linear,Linear,27312682,15923384
Linear,Linear,27312683,15923604
Concave,Linear,27312685,15923319
Linear,Concave,27312687,15923635
Concave,Linear,27312688,15923428
Linear,Concave,27312691,15923637
Convex,Convex,27312693,15923433
Concave,Linear,27312695,15923430
Concave,Linear,27312697,15923638
Concave,Linear,27312699,15923435
Linear,Concave,27312701,15923527
Convex,Convex,27312702,15923323
Concave,Linear,27312704,15923528
Concave,Concave,27312766,15923654
Linear,Linear,27312781,15923558
Concave,Concave,27312872,15923343
Linear,Linear,27312881,15923648
Linear,Linear,27312882,15923557
Linear,Linear,27312957,15923429
Linear,Linear,27312958,15923636
Convex,Linear,27312959,15923432
Linear,Linear,27312960,15923526
Convex,Linear,27312961,15923639
Linear,Concave,27312964,15923607
Concave,Linear,27312965,15923385
Linear,Convex,27312967,15923494
Linear,Convex,27312969,15923605
Concave,Linear,27312995,15923592
Concave,Linear,27312998,15923279
Convex,Convex,27312999,15923481
Linear,Concave,27313002,15923278
Concave,Concave,27313134,15923320
Concave,Concave,27313135,15923427
Concave,Concave,27313136,15923431
Concave,Concave,27313137,15923321
Concave,Concave,27313138,15923434
Concave,Concave,27313139,15923322
Concave,Concave,27313150,15923386
Concave,Concave,27313155,15923479
Concave,Concave,27313156,15923593
Linear,Concave,27313191,15923606
Linear,Convex,27313192,15923493
Linear,Convex,27313193,15923495
Convex,Linear,27313202,15923480
Linear,Linear,27313203,15923374
