plantsym,plantsciname,plantcomname,cokey,cotreestomngkey
PIST,Pinus strobus,eastern white pine,17960866,30922167
JUNI,Juglans nigra,black walnut,17960866,30922168
LITU,Liriodendron tulipifera,tuliptree,17960866,30922169
PIGL,Picea glauca,white spruce,17960897,30922192
ACRU,Acer rubrum,red maple,17960897,30922193
FRAM2,Fraxinus americana,white ash,17960897,30922194
FRAM2,Fraxinus americana,white ash,17960899,30922195
PIST,Pinus strobus,eastern white pine,17960899,30922196
ACRU,Acer rubrum,red maple,17960899,30922197
PIAB,Picea abies,Norway spruce,17960899,30922198
LITU,Liriodendron tulipifera,tuliptree,17960899,30922199
JUNI,Juglans nigra,black walnut,17960899,30922200
PIGL,Picea glauca,white spruce,17961023,30922343
FRAM2,Fraxinus americana,white ash,17961023,30922344
ACRU,Acer rubrum,red maple,17961023,30922345
ACSA2,Acer saccharinum,silver maple,17961049,30922364
PODE3,Populus deltoides,eastern cottonwood,17961049,30922365
LIST2,Liquidambar styraciflua,sweetgum,17961049,30922366
PLOC,Platanus occidentalis,American sycamore,17961049,30922367
QUBI,Quercus bicolor,swamp white oak,17961049,30922368
QUPA2,Quercus palustris,pin oak,17961049,30922369
FRAM2,Fraxinus americana,white ash,17961049,30922370
ACRU,Acer rubrum,red maple,17961049,30922371
FRPE,Fraxinus pennsylvanica,green ash,17961049,30922372
PIAB,Picea abies,Norway spruce,17961049,30922373
ACRU,Acer rubrum,red maple,17961050,30922374
FRPE,Fraxinus pennsylvanica,green ash,17961050,30922375
JUVI,Juniperus virginiana,eastern redcedar,17961050,30922376
QUVE,Quercus velutina,black oak,17961050,30922377
PLOC,Platanus occidentalis,American sycamore,17961050,30922378
QUBI,Quercus bicolor,swamp white oak,17961050,30922379
QUPA2,Quercus palustris,pin oak,17961050,30922380
ACSA2,Acer saccharinum,silver maple,17961050,30922381
PODE3,Populus deltoides,eastern cottonwood,17961050,30922382
QURU,Quercus rubra,northern red oak,17961050,30922383
ACRU,Acer rubrum,red maple,17961124,30922609
FRPE,Fraxinus pennsylvanica,green ash,17961124,30922610
PIST,Pinus strobus,eastern white pine,17961124,30922611
PRSE2,Prunus serotina,black cherry,17961124,30922612
ROPS,Robinia pseudoacacia,black locust,17961124,30922613
FRAM2,Fraxinus americana,white ash,17961124,30922614
JUVI,Juniperus virginiana,eastern redcedar,17961124,30922615
QUVE,Quercus velutina,black oak,17961124,30922616
PLOC,Platanus occidentalis,American sycamore,17961124,30922617
QUBI,Quercus bicolor,swamp white oak,17961124,30922618
QUPA2,Quercus palustris,pin oak,17961124,30922619
ACSA2,Acer saccharinum,silver maple,17961124,30922620
LITU,Liriodendron tulipifera,tuliptree,17961124,30922621
QUAL,Quercus alba,white oak,17961124,30922622
PIRE,Pinus resinosa,red pine,17961124,30922623
PODE3,Populus deltoides,eastern cottonwood,17961124,30922624
QURU,Quercus rubra,northern red oak,17961124,30922625
QURU,Quercus rubra,northern red oak,17961125,30922626
LITU,Liriodendron tulipifera,tuliptree,17961125,30922627
PIRE,Pinus resinosa,red pine,17961125,30922628
PLOC,Platanus occidentalis,American sycamore,17961125,30922629
FRAM2,Fraxinus americana,white ash,17961125,30922630
FRPE,Fraxinus pennsylvanica,green ash,17961125,30922631
ROPS,Robinia pseudoacacia,black locust,17961125,30922632
PIST,Pinus strobus,eastern white pine,17961125,30922633
PRSE2,Prunus serotina,black cherry,17961125,30922634
ACRU,Acer rubrum,red maple,17961126,30922635
FRPE,Fraxinus pennsylvanica,green ash,17961126,30922636
PIAB,Picea abies,Norway spruce,17961126,30922637
FRAM2,Fraxinus americana,white ash,17961126,30922638
PLOC,Platanus occidentalis,American sycamore,17961126,30922639
QUBI,Quercus bicolor,swamp white oak,17961126,30922640
