areaovacres,lareaovkey,mukey,muareaovkey
1038,407975,168535,24324436
1038,407977,168535,24324437
1038,407978,168535,24324438
1038,407979,168535,24324439
1038,407980,168535,24324440
34011,407975,168539,24324819
34011,407977,168539,24324820
34011,407978,168539,24324821
34011,407979,168539,24324822
34011,407980,168539,24324823
4303,407975,168545,24324461
4303,407977,168545,24324462
4303,407978,168545,24324463
4303,407979,168545,24324464
4303,407980,168545,24324465
2398,407975,168560,24324516
2398,407977,168560,24324517
2398,407978,168560,24324518
2398,407979,168560,24324519
2398,407980,168560,24324520
18693,407975,168579,24324596
18693,407977,168579,24324597
18693,407978,168579,24324598
18693,407979,168579,24324599
18693,407980,168579,24324600
24143,407975,168588,24324808
9700,407976,168588,24324809
14443,407977,168588,24324810
24143,407978,168588,24324811
24143,407979,168588,24324812
24143,407980,168588,24324813
23419,407975,168593,24324879
23419,407977,168593,24324880
23419,407978,168593,24324881
23419,407979,168593,24324882
23419,407980,168593,24324883
20403,407975,1019357,24324814
20403,407977,1019357,24324815
20403,407978,1019357,24324816
20403,407979,1019357,24324817
20403,407980,1019357,24324818
9264,407975,2996476,24324889
9264,407977,2996476,24324890
9264,407978,2996476,24324891
9264,407979,2996476,24324892
9264,407980,2996476,24324893
