folderkey,attributekey
1,58
1,77
1,81
1,89
1,99
1,100
1,190
1,14
1,25
1,49
1,314
1,189
1,2660
1,2727
1,2732
1,2735
2,393
2,46
2,40
2,5
2,161
2,158
2,159
2,160
2,168
2,95
2,80
2,55
2,69
2,93
2,621
3,79
3,166
3,167
3,163
3,165
3,43
3,20
3,21
3,22
3,164
4,173
4,174
4,27
4,38
4,48
4,170
4,171
4,172
4,3
4,1
4,357
5,103
5,90
5,84
5,62
5,169
5,18
5,176
5,177
5,178
5,179
5,526
6,229
6,230
6,231
6,252
6,253
6,8
6,10
6,227
6,228
6,251
6,254
6,45
6,39
6,26
6,34
6,35
6,36
6,63
6,56
6,85
6,87
6,92
6,628
6,629
6,632
6,630
6,631
6,2748
8,78
8,57
8,64
8,394
8,29
8,24
8,17
8,256
8,255
8,257
9,262
9,263
9,258
9,259
9,260
9,261
9,33
9,30
9,72
9,386
9,387
9,388
9,389
9,390
9,391
9,392
9,633
9,634
9,636
9,635
9,2695
9,2696
9,2697
9,2698
10,471
10,74
10,60
10,83
10,88
10,31
10,32
10,395
10,191
10,288
10,523
10,16
10,2685
10,2689
10,2690
10,2692
10,2729
11,4
11,19
11,51
11,71
11,75
12,61
12,65
12,66
12,91
12,308
12,378
12,97
12,379
12,311
12,312
12,41
12,42
12,37
12,9
12,15
12,6
12,7
12,365
12,366
12,101
13,59
13,11
13,28
13,47
13,2
13,98
13,68
14,94
14,86
14,384
14,380
14,52
14,50
14,381
14,309
14,44
14,73
14,96
14,2744
14,2746
15,12
15,13
15,82
17,113
17,114
17,115
17,116
17,117
17,118
17,119
17,120
17,121
17,122
17,123
17,124
17,125
17,126
17,127
17,128
17,129
17,130
17,131
17,110
17,111
17,112
17,106
17,107
17,108
17,109
18,232
18,233
18,275
18,276
18,277
18,278
18,279
18,2760
18,2761
21,2647
21,2755
21,2756
21,2757
21,2758
21,2759
22,2682
22,2712
22,2751
22,2752
22,2753
22,2754
22,2763
22,2764
