Year,Crop,Nitrogen,Phosphate,Potash
1964,Corn,1623,1053,829
1965,Corn,2151,1336,1204
1966,Corn,2596,1626,1513
1967,Corn,3044,1857,1750
1968,Corn,3116,1855,1778
1969,Corn,3287,1789,1765
1970,Corn,3520,2136,2046
1971,Corn,3730,2024,1946
1972,Corn,3705,1994,1992
1973,Corn,3830,1988,2052
1974,Corn,3773,2102,2361
1975,Corn,3885,1963,2162
1976,Corn,5210,2550,2771
1977,Corn,5181,2523,2835
1978,Corn,4888,2416,2646
1979,Corn,5274,2499,2803
1980,Corn,5244,2413,2927
1981,Corn,5588,2536,3038
1982,Corn,5360,2341,2957
1983,Corn,3960,1696,2124
1984,Corn,5391,2277,2873
1985,Corn,5666,2153,2769
1986,Corn,4807,1964,2331
1987,Corn,4194,1676,2110
1988,Corn,4499,1856,2245
1989,Corn,4601,1798,2196
1990,Corn,4748,1891,2399
1991,Corn,4715,1868,2245
1992,Corn,4887,1854,2256
1993,Corn,4369,1681,2054
1994,Corn,4603,1740,2119
1995,Corn,4158,1496,1800
1996,Corn,4829,1795,2136
1997,Corn,4792,1783,2172
1998,Corn,4846,1666,2012
1999,Corn,4650,1580,1936
2000,Corn,4909,1763,1920
2001,Corn,4249,1552,1888
2002,Corn,4720,1701,2074
2003,Corn,4710,1682,1963
2004,Corn,4792,1729,2076
2005,Corn,5023,1781,1847
2006,Corn,4690,1696,1901
2007,Corn,5714,2066,2279
2008,Corn,5224,1888,1687
2009,Corn,4875,1425,1457
2010,Corn,5610,1933,1991
2011,Corn,NA,NA,NA
2012,Corn,NA,NA,NA
2013,Corn,NA,NA,NA
2014,Corn,6317,2288,2408
2015,Corn,NA,NA,NA
2016,Corn,6123,2081,2249
1964,Cotton,394,211,175
1965,Cotton,453,230,177
1966,Cotton,330,168,135
1967,Cotton,269,146,104
1968,Cotton,319,174,136
1969,Cotton,405,192,132
1970,Cotton,323,158,123
1971,Cotton,343,164,140
1972,Cotton,404,212,175
1973,Cotton,337,182,151
1974,Cotton,421,210,173
1975,Cotton,240,102,86
1976,Cotton,353,160,121
1977,Cotton,416,185,110
1978,Cotton,351,163,112
1979,Cotton,352,168,83
1980,Cotton,371,160,100
1981,Cotton,387,171,99
1982,Cotton,330,107,94
1983,Cotton,218,78,62
1984,Cotton,343,128,95
1985,Cotton,325,123,94
1986,Cotton,309,110,98
1987,Cotton,324,108,77
1988,Cotton,390,142,78
1989,Cotton,347,120,68
1990,Cotton,419,133,90
1991,Cotton,477,151,98
1992,Cotton,466,153,140
1993,Cotton,508,171,140
1994,Cotton,649,159,140
1995,Cotton,700,204,173
1996,Cotton,563,193,230
1997,Cotton,525,219,286
1998,Cotton,472,212,259
1999,Cotton,544,215,309
2000,Cotton,567,225,304
2001,Cotton,569,236,314
2002,Cotton,508,204,281
2003,Cotton,508,210,280
2004,Cotton,502,206,277
2005,Cotton,517,211,285
2006,Cotton,559,228,304
2007,Cotton,441,156,192
2008,Cotton,421,157,202
2009,Cotton,345,99,110
2010,Cotton,380,139,188
2011,Cotton,NA,NA,NA
2012,Cotton,NA,NA,NA
2013,Cotton,NA,NA,NA
2014,Cotton,NA,NA,NA
2015,Cotton,268,100,133
2016,Cotton,NA,NA,NA
1964,Soybeans,16,57,70
1965,Soybeans,19,90,117
1966,Soybeans,40,165,183
1967,Soybeans,56,204,231
1968,Soybeans,67,211,257
1969,Soybeans,48,227,276
1970,Soybeans,63,215,308
1971,Soybeans,62,229,282
